adduct,mz,rt,name
M+H,167.0703,7.88,3-(2-HYDROXYPHENYL)PROPANOATE
M+H-H2O,149.0597,7.88,3-(2-HYDROXYPHENYL)PROPANOATE-H2O
M+H-H2O,163.039,6.29,3-(4-HYDROXYPHENYL)PYRUVATE-H2O
M+H,167.0703,5.25,3-(HYDROXYPHENYL) PROPIONATE
M+H-H2O,349.2373,8.59,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE-H2O"
M+H-H2O,349.2373,8.11,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE-H2O"
M+H,154.0499,1.57,3-AMINO-4-HYDROXYBENZOIC ACID
M+H,154.0499,1.87,3-AMINO-5-HYDROXYBENZOIC ACID
M+H,104.0706,0.83,3-AMINOISOBUTANOATE
M+H-H2O,86.06,0.83,3-AMINOISOBUTANOATE-H2O
M+Na,126.0525,0.83,3-AMINOISOBUTANOATE+Na
M+H,173.0444,1.26,3-DEHYDROSHIKIMATE
M+H-H2O,155.0339,1.26,3-DEHYDROSHIKIMATE-H2O
M+Na,195.0264,1.26,3-DEHYDROSHIKIMATE+Na
M+H,163.0601,2.93,3-HYDROXY-3-METHYLGLUTARATE
M+H-H2O,145.0495,2.93,3-HYDROXY-3-METHYLGLUTARATE-H2O
M+Na,185.042,2.93,3-HYDROXY-3-METHYLGLUTARATE+Na
M+H,154.0499,5.59,3-HYDROXYANTHRANILATE
M+H-H2O,136.0393,5.59,3-HYDROXYANTHRANILATE-H2O
M+H-NH3,137.0233,5.59,3-HYDROXYANTHRANILATE-NH3
M+H,123.0441,7.43,3-HYDROXYBENZALDEHYDE
M+H-H2O,107.0491,6.05,3-HYDROXYBENZYL ALCOHOL-H2O
M+H,105.0546,6.4,3-HYDROXYBUTANOIC ACID
M+H-H2O,87.0441,6.4,3-HYDROXYBUTANOIC ACID-H2O
M+H,360.2744,10.13,3-HYDROXYDODECANOYL CARNITINE
