adduct,mz,rt,name
M+H,405.2272,9.83,CORTISOL 21-ACETATE
M+Na,385.1985,8.48,CORTISOL+Na
M+H,361.201,8.67,CORTISONE
M+H,177.1028,4.42,COTININE
M+H,132.0768,0.82,CREATINE
M+H-H2O,194.0325,0.64,CREATINE PHOSPHATE
M+H-H2O,114.0662,0.82,CREATINE-H2O
M+H-NH3,115.0502,1.24,CREATINE-NH3
M+H,135.09613,0.82,CREATINE:D3
[M+Na],157.07808,0.82,CREATINE:D3+Na
M+Na,154.0587,0.82,CREATINE+Na
M+H,114.0662,0.92,CREATININE
M+K,152.0221,0.92,CREATININE+K
M+Na,136.0481,0.92,CREATININE+Na
M+H,542.0681,3.11,CYCLIC-ADP RIBOSE
M+H,211.144,6.62,CYCLO-LEU-PRO
M+H,155.0815,4.09,CYCLO-PROLYLGLYCINE
M+Na,107.0467,6.49,CYCLOPENTANONE
M+H,179.0485,0.69,CYS-GLY
M+H-NH3,162.0219,0.69,CYS-GLY-NH3
M+Na,201.0304,0.69,CYS-GLY+Na
M+H,78.0372,0.62,CYSTEAMINE
M+H-H2O,76.0215,0.62,CYSTEAMINE-H2O
M+H,244.0928,1.47,CYTIDINE
M+H,306.0486,1.01,"CYTIDINE 2',3'-CYCLIC MONO-PHOS-PHATE"
M+Na,328.0305,1.01,"CYTIDINE 2',3'-CYCLIC MONO-PHOS-PHATE+Na"
M+H,489.1146,0.85,CYTIDINE 5'-DIPHOSPHOCHOLINE
M+Na,511.0966,0.85,CYTIDINE 5'-DIPHOSPHOCHOLINE+Na
M+Na,266.0747,1.47,CYTIDINE+Na
M+H,112.0505,0.79,CYTOSINE
M+K,150.0064,0.79,CYTOSINE+K
M+Na,134.0325,0.79,CYTOSINE+Na
M+H,181.0707,0.7,FRUCTOSE
M+H-H2O,163.0601,0.7,FRUCTOSE-H2O
M+K,219.0265,0.7,FRUCTOSE+K
M+Na,203.0526,0.7,FRUCTOSE+Na
M+H,165.0947,0.85,FUCOSE
M+H,181.0707,0.66,GALACTOSE 
M+H-H2O,163.0601,0.66,GALACTOSE-H2O
M+Na,203.0526,0.66,GALACTOSE+Na
M+H,197.0656,0.72,GLUCONATE
M+H-H2O,179.055,0.72,GLUCONATE-H2O
M+K,235.0215,0.72,GLUCONATE+K
M+Na,219.0475,0.72,GLUCONATE+Na
M+H,197.0656,0.71,"GLUCONO-1,5-LACTONE"
M+H-H2O,179.055,0.71,"GLUCONO-1,5-LACTONE-H2O"
M+Na,219.0475,0.71,"GLUCONO-1,5-LACTONE+Na"
,260.053,0.68,GLUCOSAMINE 6-PHOSPHATE
M+H,260.0435,0.67,GLUCOSAMINE 6-SULFATE
M+H-H2O,242.0329,0.67,GLUCOSAMINE 6-SULFATE-H2O
M+Na,282.0254,0.67,GLUCOSAMINE 6-SULFATE+Na
M+H,181.0707,0.68,GLUCOSE
[M+Na],209.07329,0.69,GLUCOSE 13C6
M+H,261.037,0.69,GLUCOSE 6-PHOSPHATE
M+H-H2O,177.0394,0.7,GLUCURONIC ACIH2O
M+Na,217.0319,0.7,GLUCURONIC ACID+Na
M+Na,217.0319,0.7,GLUCURONOLACTONE
M+Na,129.0158,0.79,GLYCERIC ACID
M+H,197.0656,0.7,GULONIC ACID GAMA-LACTONE
M+H-H2O,179.055,0.7,GULONIC ACID GAMA-LACTONE-H2O
M+Na,219.0475,0.7,GULONIC ACID GAMA-LACTONE+Na
M+H,343.1235,0.71,LACTOSE
M+H-H2O,325.1129,0.71,LACTOSE-H2O
M+Na,365.1054,0.71,LACTOSE+Na
M+H,180.0866,0.65,MANNOSAMINE
M+H-H2O,162.0761,0.65,MANNOSAMINE-H2O
M+K,218.0425,0.65,MANNOSAMINE+K
M+Na,202.0686,0.65,MANNOSAMINE+Na
M+H,261.037,0.69,MANNOSE 6-PHOSPHATE
M+H-H2O,243.0264,0.69,MANNOSE 6-PHOSPHATE-H2O
M+Na,283.0189,0.69,MANNOSE 6-PHOSPHATE+Na
M+Na,173.042,0.73,RIBOSE
M+Na,253.0084,0.73,RIBOSE 5-PHOSPHATE
M+H-H2O,133.0495,0.73,RIBOSE-H2O
M+Na,233.0268,0.73,SACCHARIC ACID
M+H-H2O,193.0343,0.73,SACCHARIC ACIH2O
M+H,183.0863,0.7,SORBITOL
M+H-H2O,165.0757,0.7,SORBITOL-H2O
M+K,221.0422,0.7,SORBITOL+K
M+Na,205.0683,0.7,SORBITOL+Na
M+H-H2O,163.0601,0.69,TAGATOSE
M+Na,203.0526,0.69,TAGATOSE+Na
M+H-H2O,133.0495,0.73,XYLOSE
M+Na,173.042,0.73,XYLOSE+Na
M+H,332.0754,2.54,DAMP
M+Na,354.0574,2.54,DAMP+Na
M+H,176.118,6.83,DEBRISOQUINE
M+H-H2O,155.143,9.65,DECANOATE-H2O
M+H,316.2482,10.27,DECANOYLCARNITINE
M+Na,338.2302,10.27,DECANOYLCARNITINE+Na
M+H,561.3601,6.43,DEFEROXAMIN
M+H,175.0237,0.7,DEHYDRO-L-(+)-ASCORBIC ACID DIMER
M+H,403.2479,9.62,DEHYDROCHOLIC ACID
M+H-H2O,385.2373,9.62,DEHYDROCHOLIC ACID-H2O
M+Na,425.2298,9.62,DEHYDROCHOLIC ACID+Na
M+H,375.2894,10.11,DEHYDROLITHOCHOLIC ACID
M+H,146.1176,1.11,DEOXYCARNITINE
M+Na,168.0995,1.11,DEOXYCARNITINE+Na
M+H-H2O,375.2894,10.92,DEOXYCHOLIC ACID (DCA)
M+H-2H2O,357.2777,10.92,DEOXYCHOLIC ACID (DCA)-2H2O
M+Na,415.2819,10.92,DEOXYCHOLIC ACID (DCA)+Na
M+H,373.2373,11.92,DEOXYCORTICOSTERONE ACETATE
M+H,228.0979,2.09,DEOXYCYTIDINE
M+K,266.0538,2.09,DEOXYCYTIDINE+K
M+Na,250.0798,2.09,DEOXYCYTIDINE+Na
M+Na,250.0798,2.09,DEOXYCYTIDINE+Na
M+H,135.0652,5.75,DEOXYRIBOSE
M+H,229.0819,4.23,DEOXYURIDINE
M+H-H2O,211.0713,5.51,DEOXYURIDINE-H2O
M+Na,251.0638,4.23,DEOXYURIDINE+Na
M+H,385.3465,32.57,DESMOSTEROL
M+H-H2O,367.3359,32.57,DESMOSTEROL-H2O
M+H,215.139,7.01,DETHIOBIOTIN
M+Na,237.121,7.01,DETHIOBIOTIN
M+H-H2O,197.1285,7.01,DETHIOBIOTIN-H2O
M+H,272.20013,20.92,DEXTROMETHORPHAN
M+H,279.1586,14.97,Di-n-butyl pthalate (DBP)
,259.18988,13.67,DIBUTYL ADIPATE
[M+Na],281.17184,13.67,DIBUTYL ADIPATE+Na
,279.15833,15.21,DIBUTYL PHTHALATE
,331.18961,21.65,DICYCLOEXYL PHTHALATE
M+H,106.0863,0.69,DIETHANOLAMINE
M+Na,128.0682,0.67,DIETHANOLAMINE+Na
M+Na,225.0733,7.8,DIETHYL 2-METHYL-3-OXOSUCCINATE
M+H,223.0962,10.79,DIETHYL PHTHALATE (DEP)
M+H,245.2693,0.55,DIETHYNORSPERMINE
M+H,159.04003,1.1,DIHYDROOROTATE
M+H,171.0053,0.75,DIHYDROXYACETONE PHOSPHATE
M+H-H2O,167.0339,12.28,DIHYDROXYMANDELIC ACID-H2O
M+H,162.0551,6.63,DIHYDROXYQUINOINE
M+H,279.2319,15.31,DIISOBUTYLPHTHALATE
M+H,195.0649,9.52,DIMETHYL PTHALATE
M+H,203.1503,0.91,DIMETHYLARGININE
M+H,147.0917,6.8,DIMETHYLBENZIMIDAZOLE
M+H,312.1302,5.85,DIMETHYLGUANOSINE
M+H,170.0967,12.4,DIPHENYLAMINE
M+H,251.12715,12.44,Dipropyl phthalate
M+H,251.1274,12.23,Dipropyl phthalate (DPP)
[M+Na],157.08334,5.48,Dipropylene glycol
M+H,343.1532,14.54,Dipropyleneglycol dibenzoate
M+H,297.05756,13.13,DISULFIRAM
,329.348,21.92,DOCOSAHEXANOIC ACID
M+H,344.2795,11.57,DODECANOYLCARNITINE
,344.2801,11.12,DODECANOYLCARNITINE
M+Na,366.2615,11.57,DODECANOYLCARNITINE+Na
M+H,154.0863,2.72,DOPAMINE
M+H-NH3,137.0597,2.72,DOPAMINE-NH3
,421.1224,9.92,DORIPENEM
,311.1113,6.26,E-1-O-Cinnamoyl-beta-D-glucose
,293.098,0.92,EDTA
,303.232,18.08,EICOSAPENTANOIC ACID
,445.1127,7.08,Enterocin
M+H-H2O,255.2107,9.25,EPIANDROSTERONE
,291.0848,6.89,EPICATECHIN
,443.096,7.57,EPICATECHIN GALLATE
,307.0801,6.47,EPIGALLOCATECHIN
M+H,184.0968,1.57,EPINEPHRINE
M+H-H2O,166.0863,1.57,EPINEPHRINE-H2O
M+Na,206.0788,1.57,EPINEPHRINE+Na
M+H,231.0991,1.01,ERGOTHIONEINE
,338.34338,39.67,ERUCAMIDE
M+H,123.0652,0.72,ERYTHRITOL
M+H-H2O,105.0546,0.72,ERYTHRITOL-H2O
M+Na,145.0471,0.72,ERYTHRITOL+Na
M+H-H2O,255.1743,10.39,ESTRADIOL-17ALPHA
M+ACN+H,103.0866,0.72,ETHANOLAMINE
M+H,142.0264,0.67,ETHANOLAMINE PHOSPHATE
M+Na,164.0083,0.67,ETHANOLAMINE PHOSPHATE+Na
M+H,204.1019,10.61,ETHYL 3-INDOLEACETATE
M+Na,183.074,10.78,ETHYL 3-UREIDOPROPIONATE
M+H,133.0495,5.16,ETHYLMALONIC ACID
M+H-H2O,115.039,5.16,ETHYLMALONIC ACID-H2O
M+Na,155.0315,5.16,ETHYLMALONIC ACID+Na
,165.09146,12.97,EUGENOL
M+H,195.0652,7.77,FERULATE
M+H-H2O,177.0546,7.77,FERULATE-H2O
,225.09062,14,FLAVANONE
M+H,786.1644,6.26,FLAVIN ADENINE DINUCLEOTIDE
M+ACN+H,88.0393,0.69,FORMATE
,209.0914,9.69,FORMYL-5-HYDROXYKYNURENAMINE
M+H,178.0532,5.79,FORMYL-L-METHIONYL PEPTIDE
M+H-H2O,160.0427,5.79,FORMYL-L-METHIONYL PEPTIDE-H2O
M+Na,200.0352,5.79,FORMYL-L-METHIONYL PEPTIDE+Na
,237.08711,9.23,FORMYLKYNURENINE
M+Na,362.98527,1.27,"FRUCTOSE 1,6-BIPHOSPHATE"
M+H-FA,165.0394,0.7,GALACTARATE-FA
M+H-H2O,193.0343,0.7,GALACTARATE-H2O
M+Na,233.0268,0.7,GALACTARATE+Na
M+H,183.0863,0.7,GALACTITOL
M+H-H2O,165.0757,0.7,GALACTITOL-H2O
M+Na,205.0683,0.7,GALACTITOL+Na
M+H,180.0866,0.64,GALACTOSAMINE
M+H-H2O,162.0761,0.64,GALACTOSAMINE-H2O
M+K,218.0425,0.64,GALACTOSAMINE+K
M+Na,202.0686,0.64,GALACTOSAMINE+Na
M+Na,217.0319,0.71,GALACTURONIC ACID
M+H-H2O,177.0394,0.71,GALACTURONIC ACID-H2O
,273.18427,14.56,GALAXOLIDONE
,171.036,5.97,GALLIC ACID
,307.0802,6.11,GALLOCHATECHIN
,459.0909,7.12,GALLOCHATECHIN GALLATE
M+H,279.2319,15.09,GAMMA-LINOLENIC ACID
M+H,409.2949,9.64,GAMMA-MURICHOLIC ACID
M+Na,431.2768,9.64,GAMMA-MURICHOLIC ACID
M+H-H2O,391.2843,9.64,GAMMA-MURICHOLIC ACID-H2O
[M+Na],325.1268,7.09,GARCINIA LACTONE DIBUTY ESTER
M+H,360.15002,0.76,GENTIOBIOSE
M+H,249.10764,1.02,GLU-THR
M+H,197.0656,0.72,GLUCONIC ACID
M+H-H2O,179.055,0.72,GLUCONIC ACID-H2O
M+Na,219.0475,0.72,GLUCONIC ACID+Na
M+H,196.0816,0.67,GLUCOSAMINATE
M+H-H2O,178.071,0.67,GLUCOSAMINATE-H2O
M+Na,218.0635,0.67,GLUCOSAMINATE+Na
M+H,180.0866,0.64,GLUCOSAMINE
M+H-H2O,162.0761,0.64,GLUCOSAMINE-H2O
M+K,218.0425,0.64,GLUCOSAMINE+K
M+Na,202.0686,0.64,GLUCOSAMINE+Na
M+H-H2O,163.0601,0.68,GLUCOSE/FRUCTOSE-H2O
M+Na,283.0189,0.72,GLUCOSE/FRUCTOSE-PHOSPHATE+Na
M+Na,203.0526,0.68,GLUCOSE/FRUCTOSE+Na
M+H,133.0495,4.37,GLUTARATE
M+H-H2O,115.039,4.37,GLUTARATE-H2O
M+Na,155.0315,4.37,GLUTARATE+Na
M+H,133.0495,1.06,GLUTARIC ACID
M+H-H2O,115.039,1.06,GLUTARIC ACID-H2O
M+Na,155.0315,1.06,GLUTARIC ACID+Na
M+H,276.1442,5.56,GLUTARYLCARNITINE
M+H,308.0911,1.48,GLUTATHIONE
,613.1598,3.74,GLUTATHIONE DISULFIDE
[M+2H]2+,307.0838,3.74,GLUTATHIONE DISULFIDE+2
M+Na,330.073,1.48,GLUTATHIONE+Na
M+Na,267.0604,4.33,GLYCERALDEHYDE 3-PHOSPHATE DIETHYL ACETAL
M+H,93.0546,0.74,GLYCEROL
M+H-H2O,75.0441,0.74,GLYCEROL-H2O
M+Na,115.0366,0.74,GLYCEROL+Na
,258.1094,0.75,GLYCEROPHOSPHOCHOLINE
M+H,466.3163,9.03,GLYCHOCHOLIC ACID
M+H-2H2O,430.2937,9.03,GLYCHOCHOLIC ACID-2H2O
M+H-H2O,448.3057,9.03,GLYCHOCHOLIC ACID-H2O
M+2Na,510.279,9.03,GLYCHOCHOLIC ACID+2Na
M+K,504.2618,9.03,GLYCHOCHOLIC ACID+K
M+Na,488.2983,9.03,GLYCHOCHOLIC ACID+Na
M+NH4,483.34313,9.03,GLYCHOCHOLIC ACID+NH4
Dimer,931.6214,8.99,GLYCHOLIC ACID-Dimer
M+H,76.0393,0.63,GLYCINE
M+H,450.3214,9.9,GLYCOCHENODEOXYCHOLIC ACID
M+H-H2O,432.3108,9.9,GLYCOCHENODEOXYCHOLIC ACID-H2O
M+Na,472.3033,9.9,GLYCOCHENODEOXYCHOLIC ACID+Na
M+H,466.3163,9.07,GLYCOCHOLATE
M+H-H2O,448.3057,9.07,GLYCOCHOLATE-H2O
M+Na,488.2983,9.07,GLYCOCHOLATE+Na
Dimer,899.6355,9.98,GLYCODEOXYCHOLIC ACID-dimer
M+H,450.3214,10.03,GLYCODOEXYCHOLIC ACID
M+H-2H2O,414.2986,10.03,GLYCODOEXYCHOLIC ACID-2H2O
M+H-H2O,432.3108,10.03,GLYCODOEXYCHOLIC ACID-H2O
M+Na,472.3033,10.03,GLYCODOEXYCHOLIC ACID+Na
M+H,450.3214,9.21,GLYCOHYODEOXYCHOLIC ACID
M+H-H2O,432.3108,9.21,GLYCOHYODEOXYCHOLIC ACID-H2O
M+Na,472.3033,9.21,GLYCOHYODEOXYCHOLIC ACID+Na
M+K,98.9843,0.69,GLYCOLALDEHYDE DIMER+K
M+H,434.3265,11.22,GLYCOLITHOCHOLIC ACID
M+H-H2O,416.3159,11.22,GLYCOLITHOCHOLIC ACID-H2O
M+Na,456.3084,11.22,GLYCOLITHOCHOLIC ACID+Na
M+H,450.3214,9.23,GLYCOURSODEOXYCHOLIC ACID
M+H-2H2O,414.2986,9.23,GLYCOURSODEOXYCHOLIC ACID-2H2O
Dimer,899.6355,9.16,GLYCOURSODEOXYCHOLIC ACID-dimer
M+H-H2O,432.3108,9.23,GLYCOURSODEOXYCHOLIC ACID-H2O
M+Na,472.3033,9.23,GLYCOURSODEOXYCHOLIC ACID+Na
,189.1235,5.57,GLYCYL-LEUCINE
M+H-H2O,107.0491,7.15,GUAIACOL
M+H,118.0611,0.73,GUANIDINOACETATE
M+H-NH3,101.0346,0.73,GUANIDINOACETATE_NH3
M+Na,140.043,0.73,GUANIDINOACETATE+Na
M+H,146.0924,1.5,GUANIDINOBUTYRATE
,152.05669,1.46,GUANINE
M+H,284.0989,5.28,GUANOSINE
M+H,346.0547,5.36,"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE"
M+Na,368.0367,5.36,"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE+Na"
M+H,606.0844,1.32,GUANOSINE 5'-DIPHOSPHO-D-MANNOSE
M+H,606.0844,1.49,GUANOSINE 5'-DIPHOSPHOGLUCOSE
,364.0653,2.02,GUANOSINE 5'-MONOPHOSPHATE
M+K,322.0548,5.28,GUANOSINE+K
M+Na,306.0809,5.28,GUANOSINE+Na
M+H,616.1768,10.76,HEME
M+H,131.1067,6.26,HEPTANOIC ACID
M+H,400.3421,38.46,HEXADECANOYLCARNITINE
M+Na,422.3241,38.46,HEXADECANOYLCARNITINE+Na
M+H,260.1856,7.53,HEXANOYLCARNITINE
M+Na,282.1676,7.53,HEXANOYLCARNITINE+Na
,261.037,0.73,HEXOSE-6-PHOSPHATE
,365.1054,0.78,HEXOSE-DISACCHARIDE
M+H,180.0655,6.6,HIPPURATE
M+H-H2O,162.055,6.6,HIPPURATE-H2O
M+Na,202.0475,6.6,HIPPURATE+Na
M+H,112.0869,0.61,HISTAMINE
M+H-NH3,95.0604,0.61,HISTAMINE-NH3
M+Na,134.0689,0.61,HISTAMINE+Na
,207.049,5.22,HOMOCITRATE
,136.0427,0.88,HOMOCYSTEINE
M+H,269.0624,0.94,HOMOCYSTINE
M+Na,291.0444,0.94,HOMOCYSTINE+Na
M+H,169.0495,5.68,HOMOGENTISATE
M+H-H2O,151.039,5.68,HOMOGENTISATE-H2O
M+H,120.0655,0.66,HOMOSERINE
M+H-H2O,102.055,0.66,HOMOSERINE-H2O
M+Na,142.0475,0.66,HOMOSERINE+Na
M+H-H2O,165.0546,6.2,HOMOVANILLATE
M+H,111.0441,11.91,HYDROQUINONE
,196.0395,6.63,HYDROXYHIPPURIC ACID
M+H-H2O,375.2894,10.11,HYODEOXCHOLIC ACID-H2O
M+H,110.027,0.66,HYPOTAURINE
M+H-H2O,92.0165,0.66,HYPOTAURINE-H2O
M+Na,132.009,0.66,HYPOTAURINE+Na
M+H,137.0458,1.96,HYPOXANTHINE
M+H-NH3,120.0192,1.96,HYPOXANTHINE-NH3
M+Na,159.0277,1.96,HYPOXANTHINE+Na
,207.1385,6.74,IBUPROFEN
M+H,160.0757,5.55,INDOLE-3-ACETALDEHYDE
M+H,175.0866,7.29,INDOLE-3-ACETAMIDE
M+H-NH3,158.06,7.29,INDOLE-3-ACETAMIDE-NH3
M+K,213.0425,7.29,INDOLE-3-ACETAMIDE+K
M+Na,197.0685,7.29,INDOLE-3-ACETAMIDE+Na
M+H,176.0706,8.42,INDOLE-3-ACETATE
M+H-H2O,162.0549,7.1,INDOLE-3-CARBOXYLIC ACID
M+H,162.0913,8.38,INDOLE-3-ETHANOL
M+H-H2O,144.0808,8.38,INDOLE-3-ETHANOL-H2O
,188.07074,6.25,INODLEACRYLIC ACID
M+H,269.088,5.21,INOSINE
M+H,349.0544,1.79,INOSINE 5'-MONOPHOSPHATE
M+Na,371.0363,1.79,INOSINE 5'-MONOPHOSPHATE+Na
M+H,349.0544,1.79,INOSINE 5'-PHOSPHATE
M+Na,371.0363,1.79,INOSINE 5'-PHOSPHATE+Na
M+K,307.0439,5.21,INOSINE+K
M+Na,291.07,5.21,INOSINE+Na
,232.1549,6.04,ISOBUTYRYLCARNITINE
M+H,193.0343,1.03,ISOCITRIC ACID
M+H-H2O,175.0237,1.03,ISOCITRIC ACID-H2O
M+Na,215.0162,1.03,ISOCITRIC ACID+Na
,112.05053,1.48,ISOCYTOSINE
M+H,246.17,6.76,ISOVALERYLCARNITINE
M+H,246.1705,6.53,ISOVALERYLCARNITINE
,255.2258,6.66,"ISOVALERYLCARNITINE (N,N,N-trimethyl-D9)"
M+Na,268.1519,6.76,ISOVALERYLCARNITINE+Na
M+H,131.0339,5.1,ITACONATE
M+H,131.0339,3.47,ITACONATE
M+H-H2O,113.0233,5.1,ITACONATE-H2O
M+H-H2O,113.0233,3.47,ITACONATE-H2O
M+Na,153.0158,5.1,ITACONATE+Na
M+Na,153.0158,3.47,ITACONATE+Na
,287.0538,9.81,KAEMPFEROL
,190.0498,6.3,KYNURENIC ACID
,209.09207,5.5,KYNURENINE
M+H,209.0921,5.5,KYNURENINE
,209.0921,5.5,KYNURENINE
,162.0759,0.82,2-AMINO ADIPIC ACID
,187.00022,0.84,2-PHOSPHOGLYCERIC ACID
M+H,105.0659,0.63,"2,3-DIAMINOPROPIONIC ACID"
M+H-NH3,88.0393,0.63,"2,3-DIAMINOPROPIONIC ACID-NH3"
M+K,143.0217,0.63,"2,3-DIAMINOPROPIONIC ACID+K"
M+Na,127.0478,0.63,"2,3-DIAMINOPROPIONIC ACID+Na"
M+H,163.1077,0.62,5-HYDROXYLYSINE
M+H-H2O,145.0972,0.62,5-HYDROXYLYSINE-H2O
M+H-NH3,146.0812,0.62,5-HYDROXYLYSINE-NH3
M+K,201.0636,0.62,5-HYDROXYLYSINE+K
M+Na,185.0897,0.62,5-HYDROXYLYSINE+Na
M+H,90.055,0.66,ALANINE
,93.06556,0.69,ALANINE 13C3
M+Na,112.0369,0.66,ALANINE+Na
M+H-H2O,102.055,0.69,ALLOTHREONINE-H2O
M+Na,142.0475,0.69,ALLOTHREONINE+Na
M+H,241.1295,0.7,ANSERINE
M+H-NH3,224.103,0.7,ANSERINE-NH3
M+Na,263.1115,0.7,ANSERINE+Na
M+H,153.0757,0.7,ARABITOL
M+H-H2O,135.0652,0.7,ARABITOH2O
M+K,191.0316,0.7,ARABITOL+K
M+Na,175.0577,0.7,ARABITOL+Na
M+H,175.119,0.64,ARGININE
M+H-NH3,158.0924,0.64,ARGININE-NH3
M+K,213.0748,0.64,ARGININE+K
M+Na,197.1009,0.64,ARGININE+Na
M+H,133.0608,0.64,ASPARAGINE
M+H-NH3,116.0342,0.64,ASPARAGINE-NH3
M+K,171.0167,0.64,ASPARAGINE+K
M+Na,155.0427,0.64,ASPARAGINE+Na
M+H,134.0448,0.65,ASPARTATE
M+H-H2O,116.0342,0.65,ASPARTATE-H2O
M+Na,156.0267,0.65,ASPARTATE+Na
M+H,162.1125,0.95,CARNITINE
,171.16862,0.95,CARNITINE:D9
M+K,200.0684,0.95,CARNITINE+K
M+Na,184.0944,0.95,CARNITINE+Na
M+H,223.0747,0.66,CYSTATHIONINE
M+Na,245.0566,0.66,CYSTATHIONINE+Na
M+H,170.0118,0.68,CYSTEIC ACID
M+Na,191.9937,0.68,CYSTEIC ACID+Na
M+H,122.027,0.7,CYSTEINE
M+H,241.0311,0.66,CYSTINE
M+K,278.987,0.66,CYSTINE
M+Na,263.0131,0.66,CYSTINE+Na
,165.0947,0.83,FUCOSE
M+H,148.0604,0.7,GLUTAMIC ACID
M+H-H2O,130.0499,0.7,GLUTAMIC ACID-H2O
M+H-NH3,131.0339,0.7,GLUTAMIC ACID-NH3
M+Na,170.0424,0.7,GLUTAMIC ACID+Na
M+H,147.0764,0.67,GLUTAMINE
M+H-NH3,130.0499,0.67,GLUTAMINE-NH3
M+K,185.0323,0.67,GLUTAMINE+K
M+Na,169.0584,0.67,GLUTAMINE+Na
M+H,156.0768,0.62,HISTIDINE
M+K,194.0326,0.62,HISTIDINE+K
M+Na,178.0587,0.62,HISTIDINE+Na
M+H,142.0975,0.61,HISTIDINOL
M+H-H2O,124.0869,0.61,HISTIDINOH2O
M+K,180.0534,0.61,HISTIDINOL+K
M+Na,164.0794,0.61,HISTIDINOL+Na
M+H,118.0321,0.87,HOMOCYSTEINE THIOLACTONE
M+Na,140.0141,0.87,HOMOCYSTEINE THIOLACTONE+Na
M+H,132.1019,2.29,ISOLEUCINE
M+Na,154.0838,2.29,ISOLEUCINE+Na
M+H,132.1019,2.6,LEUCINE
,138.12256,2.6,LEUCINE 13C6
,142.16521,2.6,LEUCINE-D10
M+H,147.1128,0.58,LYSINE
M+H-H2O,129.1022,0.58,LYSINE-H2O
M+H-NH3,130.0863,0.58,LYSINE-NH3
M+K,185.0687,0.58,LYSINE+K
M+Na,169.0947,0.58,LYSINE+Na
M+H,150.0583,1.39,METHIONINE
M+H,181.0641,0.67,METHIONINE SULFOXIMINE
M+H-NH3,164.0376,0.67,METHIONINE SULFOXIMINE-NH3
M+K,219.02,0.67,METHIONINE SULFOXIMINE+K
M+Na,203.0461,0.67,METHIONINE SULFOXIMINE+Na
M+H-NH3,133.0318,1.39,METHIONINE-NH3
M+Na,172.0403,1.39,METHIONINE+Na
M+H,133.0972,0.58,ORNITHINE
M+H-H2O,115.0866,0.58,ORNITHINE-H2O
M+H-NH3,116.0706,0.58,ORNITHINE-NH3
M+K,171.053,0.58,ORNITHINE+K
M+Na,155.0791,0.58,ORNITHINE+Na
M+H,166.0863,5.38,PHENYLALANINE
,172.10691,5.27,PHENYLALANINE 13C6
,120.08078,5.38,PHENYLALANINE-HCOOH
M+H-NH3,149.0597,5.38,PHENYLALANINE-NH3
M+Na,188.0682,5.38,PHENYLALANINE+Na
M+H,130.0863,1.1,PIPECOLIC ACID
M+Na,152.0682,1.1,PIPECOLIC ACID+Na
M+H,116.0706,0.81,PROLINE
M+Na,138.0525,0.81,PROLINE+Na
M+H-H2O,147.0652,0.78,RHAMNOSE-H2O
M+Na,187.0577,0.78,RHAMNOSE+Na
M+H,106.0499,0.63,SERINE
M+H-H2O,88.0393,0.63,SERINE-H2O
M+Na,128.0318,0.63,SERINE+Na
M+H,181.0707,0.67,SORBOSE
M+H-H2O,163.0601,0.67,SORBOSE-H2O
M+K,219.0265,0.67,SORBOSE+K
M+Na,203.0526,0.67,SORBOSE+Na
M+H,120.0655,0.67,THREONINE
M+H-H2O,102.055,0.67,THREONINE-H2O
M+Na,142.0475,0.67,THREONINE+Na
M+H,205.0972,6.32,TRYPTOPHAN
,216.13457,6.28,TRYPTOPHAN 13C11
[M+Na],238.11651,6.28,TRYPTOPHAN 13C11
,208.11654,6.32,"TRYPTOPHAN-2,3,3-D3"
Source fragment,191.08944,6.32,"TRYPTOPHAN-2,3,3-D3-NH3"
M+H-NH3,188.0706,6.32,TRYPTOPHAN-NH3
M+K,243.053,6.32,TRYPTOPHAN+K
M+Na,227.0791,6.32,TRYPTOPHAN+Na
M+H,204.1131,6.19,TRYPTOPHANAMIDE
M+H-NH3,187.0866,6.19,TRYPTOPHANAMIDE-NH3
M+K,242.069,6.19,TRYPTOPHANAMIDE+K
M+Na,226.0951,6.19,TRYPTOPHANAMIDE+Na
M+H,182.0812,3.35,TYROSINE
,188.10183,3.35,TYROSINE 13C6
,165.0547,3.35,TYROSINE source fragment
M+H-NH3,165.0546,3.35,TYROSINE-NH3
M+Na,204.0631,3.35,TYROSINE+Na
M+H,118.0863,1.1,VALINE/5-AMINOPENTANOATE/NORVALINE
M+Na,140.0682,1.1,VALINE/5-AMINOPENTANOATE/NORVALINE+Na
M+H-H2O,133.0495,0.73,XYLOSE-H2O
M+Na,173.042,0.73,XYLOSE+Na
,91.03953,0.78,LACTIC ACID
M+H,343.1234,0.67,LACTOSE
Dimer,707.222,0.67,LACTOSE-Dimer
M+K,381.0792,0.67,LACTOSE+K
M+Na,365.1053,0.67,LACTOSE+NA
M+H,344.2795,11.19,LAUROYLCARNITINE
M+Na,366.2615,11.19,LAUROYLCARNITINE+Na
,229.15471,5.99,LEU PRO
,362.1503,7.08,LEVOFLOXACIN
,235.181,6.91,LIDOCAINE
M+H,155.143,8.02,LINALOOL
M+H,281.2475,11.3,LINOLEATE
M+H,424.3421,20.39,LINOLEYLCARNITINE
M+Na,446.3241,9.81,LINOLEYLCARNITINE+Na
M+H,206.0668,8.4,LIPOAMIDE
M+H-NH3,189.0402,8.4,LIPOAMIDE-NH3
M+K,244.0227,8.4,LIPOAMIDE+K
M+Na,228.0487,8.4,LIPOAMIDE+Na
M+H-H2O,359.2945,13.6,LITHOCHOLIC ACID
